Date,^FTSE
1987-01-02,1681.0999755859375
1987-01-05,1680.0
1987-01-06,1690.699951171875
1987-01-07,1722.199951171875
1987-01-08,1733.0999755859375
1987-01-09,1752.300048828125
1987-01-12,1755.5999755859375
1987-01-13,1763.300048828125
1987-01-14,1765.199951171875
1987-01-15,1789.0
1987-01-16,1789.0
1987-01-19,1778.4000244140625
1987-01-20,1778.9000244140625
1987-01-21,1761.5999755859375
1987-01-22,1777.5
1987-01-23,1795.300048828125
1987-01-26,1781.800048828125
1987-01-27,1814.4000244140625
1987-01-28,1812.0999755859375
1987-01-29,1798.0999755859375
1987-01-30,1808.300048828125
1987-02-02,1832.800048828125
1987-02-03,1828.5999755859375
1987-02-04,1846.699951171875
1987-02-05,1866.0999755859375
1987-02-06,1898.4000244140625
1987-02-09,1910.699951171875
1987-02-10,1874.9000244140625
1987-02-11,1895.800048828125
1987-02-12,1878.5999755859375
1987-02-13,1898.0999755859375
1987-02-16,1925.800048828125
1987-02-17,1942.0
1987-02-18,1952.0
1987-02-19,1930.0999755859375
1987-02-20,1961.5
1987-02-23,1939.699951171875
1987-02-24,1946.800048828125
1987-02-25,1973.0999755859375
1987-02-26,1980.199951171875
1987-02-27,1979.199951171875
1987-03-02,1983.0999755859375
1987-03-03,1998.300048828125
1987-03-04,2002.699951171875
1987-03-05,2002.800048828125
1987-03-06,1998.199951171875
1987-03-09,1973.699951171875
1987-03-10,1987.699951171875
1987-03-11,1979.4000244140625
1987-03-12,1989.699951171875
1987-03-13,2000.0
1987-03-16,1991.800048828125
1987-03-17,2006.300048828125
1987-03-18,2006.5999755859375
1987-03-19,1991.0
1987-03-20,2017.5
1987-03-23,2033.0
1987-03-24,2056.199951171875
1987-03-25,2042.9000244140625
1987-03-26,2037.800048828125
1987-03-27,2048.60009765625
1987-03-30,2002.5
1987-03-31,1997.5999755859375
1987-04-01,1973.0999755859375
1987-04-02,1987.699951171875
1987-04-03,1965.0999755859375
1987-04-06,1989.5999755859375
1987-04-07,1987.0
1987-04-08,1976.699951171875
1987-04-09,1962.800048828125
1987-04-10,1936.699951171875
1987-04-13,1917.0999755859375
1987-04-14,1908.9000244140625
1987-04-15,1922.199951171875
1987-04-16,1949.4000244140625
1987-04-21,1940.199951171875
1987-04-22,1955.699951171875
1987-04-23,1968.300048828125
1987-04-24,2001.5
1987-04-27,1986.5999755859375
1987-04-28,2022.0999755859375
1987-04-29,2038.5999755859375
1987-04-30,2050.5
1987-05-01,2068.5
1987-05-05,2065.10009765625
1987-05-06,2086.5
1987-05-07,2077.89990234375
1987-05-08,2126.5
1987-05-11,2163.300048828125
1987-05-12,2143.300048828125
1987-05-13,2163.39990234375
1987-05-14,2180.0
1987-05-15,2189.699951171875
1987-05-18,2192.10009765625
1987-05-19,2214.300048828125
1987-05-20,2174.0
1987-05-21,2153.699951171875
1987-05-22,2167.5
1987-05-26,2153.39990234375
1987-05-27,2145.699951171875
1987-05-28,2157.39990234375
1987-05-29,2203.0
1987-06-01,2228.199951171875
1987-06-02,2219.60009765625
1987-06-03,2235.39990234375
1987-06-04,2214.199951171875
1987-06-05,2228.800048828125
1987-06-08,2228.39990234375
1987-06-09,2265.199951171875
1987-06-10,2256.10009765625
1987-06-11,2249.300048828125
1987-06-12,2289.5
1987-06-15,2307.60009765625
1987-06-16,2309.0
1987-06-17,2320.39990234375
1987-06-18,2293.199951171875
1987-06-19,2266.10009765625
1987-06-22,2244.60009765625
1987-06-23,2265.5
1987-06-24,2284.0
1987-06-25,2277.199951171875
1987-06-26,2291.300048828125
1987-06-29,2289.300048828125
1987-06-30,2284.10009765625
1987-07-01,2269.800048828125
1987-07-02,2297.39990234375
1987-07-03,2328.10009765625
1987-07-06,2351.89990234375
1987-07-07,2365.39990234375
1987-07-08,2356.89990234375
1987-07-09,2371.0
1987-07-10,2382.0
1987-07-13,2386.60009765625
1987-07-14,2403.0
1987-07-15,2419.199951171875
1987-07-16,2443.39990234375
1987-07-17,2428.699951171875
1987-07-20,2400.699951171875
1987-07-21,2390.5
1987-07-22,2344.5
1987-07-23,2340.199951171875
1987-07-24,2346.89990234375
1987-07-27,2333.89990234375
1987-07-28,2359.89990234375
1987-07-29,2383.10009765625
1987-07-30,2370.5
1987-07-31,2360.89990234375
1987-08-03,2334.300048828125
1987-08-04,2307.800048828125
1987-08-05,2317.39990234375
1987-08-06,2261.39990234375
1987-08-07,2226.199951171875
1987-08-10,2242.199951171875
1987-08-11,2275.39990234375
1987-08-12,2286.10009765625
1987-08-13,2290.10009765625
1987-08-14,2295.39990234375
1987-08-17,2295.39990234375
1987-08-18,2224.800048828125
1987-08-19,2197.60009765625
1987-08-20,2185.300048828125
1987-08-21,2205.800048828125
1987-08-24,2225.10009765625
1987-08-25,2248.10009765625
1987-08-26,2249.60009765625
1987-08-27,2245.800048828125
1987-08-28,2249.699951171875
1987-09-01,2272.800048828125
1987-09-02,2249.5
