Date,^GSPC
1998-01-02,975.0399780273438
1998-01-05,977.0700073242188
1998-01-06,966.5800170898438
1998-01-07,964.0
1998-01-08,956.0499877929688
1998-01-09,927.6900024414062
1998-01-12,939.2100219726562
1998-01-13,952.1199951171875
1998-01-14,957.9400024414062
1998-01-15,950.72998046875
1998-01-16,961.510009765625
1998-01-20,978.5999755859375
1998-01-21,970.8099975585938
1998-01-22,963.0399780273438
1998-01-23,957.5900268554688
1998-01-26,956.9500122070312
1998-01-27,969.02001953125
1998-01-28,977.4600219726562
1998-01-29,985.489990234375
1998-01-30,980.280029296875
1998-02-02,1001.27001953125
1998-02-03,1006.0
1998-02-04,1006.9000244140625
1998-02-05,1003.5399780273438
1998-02-06,1012.4600219726562
1998-02-09,1010.739990234375
1998-02-10,1019.010009765625
1998-02-11,1020.010009765625
1998-02-12,1024.1400146484375
1998-02-13,1020.0900268554688
1998-02-17,1022.760009765625
1998-02-18,1032.0799560546875
1998-02-19,1028.280029296875
1998-02-20,1034.2099609375
1998-02-23,1038.1400146484375
1998-02-24,1030.56005859375
1998-02-25,1042.9000244140625
1998-02-26,1048.6700439453125
1998-02-27,1049.3399658203125
1998-03-02,1047.699951171875
1998-03-03,1052.02001953125
1998-03-04,1047.3299560546875
1998-03-05,1035.050048828125
1998-03-06,1055.68994140625
1998-03-09,1052.31005859375
1998-03-10,1064.25
1998-03-11,1068.469970703125
1998-03-12,1069.9200439453125
1998-03-13,1068.6099853515625
1998-03-16,1079.27001953125
1998-03-17,1080.449951171875
1998-03-18,1085.52001953125
1998-03-19,1089.739990234375
1998-03-20,1099.1600341796875
1998-03-23,1095.550048828125
1998-03-24,1105.6500244140625
1998-03-25,1101.9300537109375
1998-03-26,1100.800048828125
1998-03-27,1095.43994140625
1998-03-30,1093.5999755859375
1998-03-31,1101.75
1998-04-01,1108.1500244140625
1998-04-02,1120.010009765625
1998-04-03,1122.699951171875
1998-04-06,1121.3800048828125
1998-04-07,1109.550048828125
1998-04-08,1101.6500244140625
1998-04-09,1110.6700439453125
1998-04-13,1109.68994140625
1998-04-14,1115.75
1998-04-15,1119.3199462890625
1998-04-16,1108.1700439453125
1998-04-17,1122.719970703125
1998-04-20,1123.6500244140625
1998-04-21,1126.6700439453125
1998-04-22,1130.5400390625
1998-04-23,1119.5799560546875
1998-04-24,1107.9000244140625
1998-04-27,1086.5400390625
1998-04-28,1085.1099853515625
1998-04-29,1094.6199951171875
1998-04-30,1111.75
1998-05-01,1121.0
1998-05-04,1122.0699462890625
1998-05-05,1115.5
1998-05-06,1104.9200439453125
1998-05-07,1095.1400146484375
1998-05-08,1108.1400146484375
1998-05-11,1106.6400146484375
1998-05-12,1115.7900390625
1998-05-13,1118.8599853515625
1998-05-14,1117.3699951171875
1998-05-15,1108.72998046875
1998-05-18,1105.8199462890625
1998-05-19,1109.52001953125
1998-05-20,1119.06005859375
1998-05-21,1114.6400146484375
1998-05-22,1110.469970703125
1998-05-26,1094.02001953125
1998-05-27,1092.22998046875
1998-05-28,1097.5999755859375
1998-05-29,1090.8199462890625
1998-06-01,1090.97998046875
1998-06-02,1093.219970703125
1998-06-03,1082.72998046875
1998-06-04,1094.8299560546875
1998-06-05,1113.8599853515625
1998-06-08,1115.719970703125
1998-06-09,1118.4100341796875
1998-06-10,1112.280029296875
1998-06-11,1094.5799560546875
1998-06-12,1098.8399658203125
1998-06-15,1077.010009765625
1998-06-16,1087.5899658203125
1998-06-17,1107.1099853515625
1998-06-18,1106.3699951171875
1998-06-19,1100.6500244140625
1998-06-22,1103.2099609375
1998-06-23,1119.489990234375
1998-06-24,1132.8800048828125
1998-06-25,1129.280029296875
1998-06-26,1133.199951171875
1998-06-29,1138.489990234375
1998-06-30,1133.8399658203125
1998-07-01,1148.56005859375
1998-07-02,1146.4200439453125
1998-07-06,1157.3299560546875
1998-07-07,1154.6600341796875
1998-07-08,1166.3800048828125
1998-07-09,1158.56005859375
1998-07-10,1164.3299560546875
1998-07-13,1165.18994140625
1998-07-14,1177.5799560546875
1998-07-15,1174.81005859375
1998-07-16,1183.989990234375
1998-07-17,1186.75
1998-07-20,1184.0999755859375
1998-07-21,1165.0699462890625
1998-07-22,1164.0799560546875
1998-07-23,1139.75
1998-07-24,1140.800048828125
1998-07-27,1147.27001953125
1998-07-28,1130.239990234375
1998-07-29,1125.2099609375
1998-07-30,1142.949951171875
1998-07-31,1120.6700439453125
1998-08-03,1112.43994140625
1998-08-04,1072.1199951171875
1998-08-05,1081.4300537109375
1998-08-06,1089.6300048828125
1998-08-07,1089.449951171875
1998-08-10,1083.1400146484375
1998-08-11,1068.97998046875
1998-08-12,1084.219970703125
1998-08-13,1074.9100341796875
1998-08-14,1062.75
1998-08-17,1083.6700439453125
1998-08-18,1101.199951171875
1998-08-19,1098.06005859375
1998-08-20,1091.5999755859375
1998-08-21,1081.239990234375
1998-08-24,1088.1400146484375
1998-08-25,1092.8499755859375
1998-08-26,1084.18994140625
1998-08-27,1042.5899658203125
1998-08-28,1027.1400146484375
1998-08-31,957.280029296875
1998-09-01,994.260009765625
1998-09-02,990.47998046875
1998-09-03,982.260009765625
1998-09-04,973.8900146484375
1998-09-08,1023.4600219726562
1998-09-09,1006.2000122070312
1998-09-10,980.1900024414062
1998-09-11,1009.0599975585938
1998-09-14,1029.719970703125
1998-09-15,1037.6800537109375
1998-09-16,1045.47998046875
1998-09-17,1018.8699951171875
1998-09-18,1020.0900268554688
1998-09-21,1023.8900146484375
1998-09-22,1029.6300048828125
1998-09-23,1066.0899658203125
1998-09-24,1042.719970703125
1998-09-25,1044.75
1998-09-28,1048.68994140625
1998-09-29,1049.02001953125
1998-09-30,1017.010009765625
1998-10-01,986.3900146484375
1998-10-02,1002.5999755859375
1998-10-05,988.5599975585938
1998-10-06,984.5900268554688
1998-10-07,970.6799926757812
1998-10-08,959.4400024414062
1998-10-09,984.3900146484375
1998-10-12,997.7100219726562
1998-10-13,994.7999877929688
1998-10-14,1005.530029296875
1998-10-15,1047.489990234375
1998-10-16,1056.4200439453125
1998-10-19,1062.3900146484375
1998-10-20,1063.9300537109375
1998-10-21,1069.9200439453125
1998-10-22,1078.47998046875
1998-10-23,1070.6700439453125
1998-10-26,1072.3199462890625
1998-10-27,1065.3399658203125
1998-10-28,1068.0899658203125
1998-10-29,1085.9300537109375
1998-10-30,1098.6700439453125
1998-11-02,1111.5999755859375
1998-11-03,1110.8399658203125
1998-11-04,1118.6700439453125
1998-11-05,1133.8499755859375
1998-11-06,1141.010009765625
1998-11-09,1130.199951171875
1998-11-10,1128.260009765625
1998-11-11,1120.969970703125
1998-11-12,1117.68994140625
1998-11-13,1125.719970703125
1998-11-16,1135.8699951171875
1998-11-17,1139.3199462890625
1998-11-18,1144.47998046875
1998-11-19,1152.6099853515625
1998-11-20,1163.550048828125
1998-11-23,1188.2099609375
1998-11-24,1182.989990234375
1998-11-25,1186.8699951171875
1998-11-27,1192.3299560546875
1998-11-30,1163.6300048828125
1998-12-01,1175.280029296875
1998-12-02,1171.25
1998-12-03,1150.1400146484375
1998-12-04,1176.739990234375
1998-12-07,1187.699951171875
1998-12-08,1181.3800048828125
1998-12-09,1183.489990234375
1998-12-10,1165.02001953125
1998-12-11,1166.4599609375
1998-12-14,1141.199951171875
1998-12-15,1162.8299560546875
1998-12-16,1161.93994140625
1998-12-17,1179.97998046875
1998-12-18,1188.030029296875
1998-12-21,1202.8399658203125
1998-12-22,1203.5699462890625
1998-12-23,1228.5400390625
1998-12-24,1226.27001953125
1998-12-28,1225.489990234375
1998-12-29,1241.81005859375
1998-12-30,1231.9300537109375
1998-12-31,1229.22998046875
1999-01-04,1228.0999755859375
1999-01-05,1244.780029296875
1999-01-06,1272.3399658203125
1999-01-07,1269.72998046875
1999-01-08,1275.0899658203125
1999-01-11,1263.8800048828125
1999-01-12,1239.510009765625
1999-01-13,1234.4000244140625
1999-01-14,1212.18994140625
1999-01-15,1243.260009765625
1999-01-19,1252.0
1999-01-20,1256.6199951171875
1999-01-21,1235.1600341796875
